material_ID,formula_pretty,over_0.5A,over_1.0A,over_1.5A,over_2.0A,over_2.5A,over_3.0A,over_3.5A,over_4.0A,over_4.5A,over_5.0A,over_5.5A,over_6.0A,over_6.5A,M_O_dist,M_O_dist_std,M_O_ang,M_O_ang_std,n_M_O_bond,n_M_O_ang,n_atoms,M2O_ratio,cell_volume,n_density,density
25199,VO2,0.8813936618115612,0.6654315543923532,0.4518163973600364,0.2923020027309968,0.1691795630405098,0.0747112539827036,0.0204042444242148,0.0050992831133363,0.0008178766499772,7.111970869367319e-06,0.0,0.0,0.0,1.9708349611833873,1.9513615242928787e-07,108.0,36.826202451350994,6,15,3,0.5,37.56557826419467,0.0798603439271272,3.66756197415057
25206,NiO2,0.8978897838415386,0.7171961042163228,0.5390605736829128,0.3770444645352182,0.2360483274430837,0.1435029177282814,0.08360729843018,0.0423481548450727,0.0147221993917974,0.0026403386208597,9.246322018574834e-05,0.0,0.0,1.7929430820412413,4.2998752849492583e-16,120.0,43.23019278814083,4,6,3,0.5,43.56014865115328,0.06887028839192387,3.458424875167203
25207,V2O5,0.8809438532663506,0.6708845050598352,0.4589055298453302,0.2819542494132727,0.1502100279304158,0.0699846995359592,0.0321702467239098,0.0159209654058707,0.0069826039693236,0.0021693984435626,0.0003078943482536,6.283558127625349e-06,0.0,1.9067790872890327,0.22125097133828114,103.74371071386186,28.832569689301593,34,80,21,0.4,261.0170001601851,0.08045452973221048,3.472470197713507
25210,NiO2,0.8624199679871949,0.6178721488595438,0.4008853541416566,0.2451980792316926,0.1268007202881152,0.0438675470188075,0.0092537014805922,0.0015506202480992,5.002000800320128e-05,0.0,0.0,0.0,0.0,1.8700411248210418,1.9925012156428925e-08,107.99999988616352,36.530529874016786,6,15,3,0.5,32.5470405054696,0.09217427924040723,4.628669744513717
25223,MnO2,0.8652060616793584,0.614845548612341,0.3879879575986035,0.2223290409087459,0.0971740835378349,0.0254003592481088,0.0047562425683709,0.0005565815771497,0.0,0.0,0.0,0.0,0.0,1.9029230155721966,2.1769233351629674e-05,107.99962018510762,36.58353287126539,6,15,3,0.5,32.51712861340081,0.09225906861787464,4.44110431304737
25229,CuO,0.915987255348202,0.7697223486572599,0.6143832498862085,0.4605298133818843,0.3167118798361402,0.1894110150204824,0.0950714610832954,0.0396649977241693,0.0189276285844333,0.009948111060537,0.004770141101502,0.0019663177059626,0.0006263086026399,1.7392014391269686,1.9229626863835638e-16,154.708795978883,3.1776437161565096e-14,8,4,8,1.0,141.5818287986731,0.05650442622390379,3.7330935082893917
25233,V2O5,0.8980974533309477,0.7188286515178625,0.5400071569153695,0.3833482435736864,0.2470597006023737,0.1421333571897179,0.0680950676924912,0.0265074252996958,0.0075833482435736,0.0011361603149042,2.982048070614898e-05,0.0,0.0,1.829852756426036,0.14419216645851554,105.44503389893018,22.415836276991463,20,40,14,0.4,203.4145803064267,0.06882495826459537,2.970530276271083
25234,CoO2,0.854047619047619,0.5924404761904762,0.361875,0.1955059523809524,0.0729761904761904,0.0159523809523809,0.002797619047619,0.0001190476190476,0.0,0.0,0.0,0.0,0.0,1.8659201195771926,0.012002860623973443,107.99999994308176,36.54893766543043,12,30,6,0.5,60.89195773500494,0.09853517973771407,4.961186283903697
25236,FeO2,0.883863860770972,0.6702244134419689,0.4570014172773498,0.2980648454764671,0.1747146973676256,0.0803011882292093,0.0245773356529215,0.0061057114262108,0.0010545618194885,4.7018679849808905e-05,0.0,0.0,0.0,1.9789330523645914,7.0742891799251725e-09,108.00000000000001,36.740629729529175,6,15,3,0.5,38.144734193175566,0.07864781505114608,3.8253931437086517
25262,TiO2,0.8805555555555555,0.6668888888888889,0.4453333333333333,0.2854444444444444,0.1592592592592592,0.0623611111111111,0.0183796296296296,0.0038981481481481,0.0003703703703703,0.0,0.0,0.0,0.0,1.9852431219030588,2.482534153247273e-16,108.0,36.69455111381239,24,60,12,0.5,150.21476165230197,0.079885624208998,3.5327050816454193
